opec,nop
0.03,0.37
0.3,0.29
1.48,0.3
1.47,0.47
1.4,0.41
1.5,0.36
1.68,0.34
1.63,0.3
1.59,0.61
1.58,0.48
1.23,0.59
1.12,0.57
0.86,0.61
0.68,0.93
0.75,1.19
0.63,0.92
0.91,0.84
0.98,0.86
1.1,0.84
1.1,0.96
1.07,0.93
1.22,0.71
1.38,0.76
1.46,0.78
1.38,0.88
1.28,0.88
1.31,0.9
1.19,0.89
1.23,0.81
1.79,0.93
1.8,0.95
2.13,0.91
2.68,0.64
2.36,0.7
2.54,0.52
2.61,0.59
2.19,0.63
2.16,0.59
2.61,0.55
2.52,0.62
2.6,0.66
2.6,0.58
2.45,0.6
2.26,0.52
2.06,0.44
2.13,0.4
2.55,0.37
2.61,0.31
2.65,0.24
2.59,0.26
2.45,0.3
2.29,0.52
2.76,0.46
2.79,0.42
2.75,0.38
2.75,0.32
2.73,0.49
2.84,0.29
2.71,0.36
2.79,0.27
1.88,0.3
2.15,0.34
2.25,0.38
2.44,0.36
2.58,1.08
2.29,0.77
2.32,0.44
2.42,0.32
2.29,0.35
1.99,0.31
1.91,0.36
1.9,0.31
1.8,0.33
1.78,0.3
1.84,0.49
1.89,0.72
1.54,0.66
1.37,0.57
